QUE;1540834455
QUI;1384393039
QUA;1103867434
QUO;122702648
QIN;2119121
QUR;1816304
QUY;1662117
QUH;1657447
QRS;1054724
QAE;1008411
QUM;894130
QOS;772231
QBA;690386
QIS;687873
QAT;646513
QUU;559937
QIA;555439
QAD;547401
QAS;458130
QCD;282526
QUT;277799
QNS;272660
QLD;257878
QSA;256676
QOL;253272
QAB;243712
QTL;209902
QVI;180552
QAZ;165459
QED;164512
QIU;153349
QTY;153085
QAM;133489
QIG;129409
QAN;129092
QFD;115241
QUS;114169
QCA;112650
QDS;109130
QQA;108435
QAR;108435
QID;106423
QTD;105827
QAI;104481
QOD;104462
QUB;104380
QTI;102234
